,date,amount,bal
2,2017-01-29,-39.9,856.5
3,2017-01-29,-95.0,761.5
5,2017-01-30,-410.0,761.5
6,2017-01-30,-40.15,721.35
7,2017-01-30,-25.85,695.5
8,2017-01-31,-43.5,652.0
9,2017-01-31,-16.59,635.41
10,2017-01-31,-8.0,627.41
11,2017-01-31,-5.75,621.66
12,2017-01-31,-485.0,136.66
13,2017-01-31,-18.55,118.11
14,2017-01-31,-40.14,77.97
15,2017-01-31,-7.99,69.98
17,2017-02-01,-32.93,73.05
18,2017-02-01,-10.3,62.75
19,2017-02-01,-10.0,52.75
20,2017-02-01,-10.0,42.75
22,2017-02-02,-4.5,538.25
23,2017-02-03,-20.0,518.25
24,2017-02-03,-4.4,513.85
25,2017-02-03,-7.0,506.85
26,2017-02-04,-20.0,486.85
27,2017-02-04,-19.46,467.39
28,2017-02-04,-12.06,455.33
29,2017-02-04,-22.6,432.73
30,2017-02-04,-10.99,421.74
31,2017-02-06,-25.85,395.89
32,2017-02-07,-8.0,387.89
33,2017-02-08,-34.0,353.89
34,2017-02-08,-29.0,324.89
35,2017-02-09,-16.0,308.89
36,2017-02-09,-16.14,292.75
37,2017-02-09,-20.0,272.75
38,2017-02-10,-7.8,264.95
39,2017-02-11,-12.39,252.56
40,2017-02-13,-25.85,226.71
41,2017-02-14,-8.0,218.71
42,2017-02-14,-19.0,199.71
43,2017-02-14,-33.7,166.01
44,2017-02-14,-33.36,132.65
45,2017-02-14,-5.48,127.17
46,2017-02-14,-4.5,122.67
47,2017-02-14,-6.0,116.67
49,2017-02-14,-410.0,116.67
50,2017-02-14,-40.0,76.67
52,2017-02-14,-20.0,76.67
53,2017-02-15,-3.25,73.42
54,2017-02-15,-4.0,69.42
55,2017-02-15,-21.9,47.52
56,2017-02-15,-11.4,36.12
57,2017-02-15,-4.5,31.62
58,2017-02-15,-11.99,19.63
59,2017-02-15,3020.91,3040.54
62,2017-02-16,-100.0,1147.54
63,2017-02-16,-4.5,1143.04
64,2017-02-16,-8.79,1134.25
66,2017-02-16,-18.0,166.25
67,2017-02-17,-1.5,164.75
68,2017-02-17,-2.99,161.76
69,2017-02-17,-2.95,158.81
70,2017-02-18,-4.2,154.61
71,2017-02-18,-7.5,147.11
73,2017-02-20,-25.85,321.26
74,2017-02-21,-91.0,230.26
75,2017-02-21,-4.5,225.76
76,2017-02-21,-5.0,220.76
77,2017-02-21,-21.7,199.06
78,2017-02-21,-3.5,195.56
79,2017-02-21,-38.46,157.1
80,2017-02-21,-21.5,135.6
81,2017-02-21,-40.0,95.6
82,2017-02-21,-7.5,88.1
83,2017-02-21,-18.0,70.1
84,2017-02-21,-353.42,-283.32
85,2017-02-22,-7.0,-290.32
86,2017-02-22,-3.5,-293.82
87,2017-02-22,-2.99,-296.81
88,2017-02-22,-51.6,-348.41
89,2017-02-22,-4.5,-352.91
91,2017-02-22,-10.0,137.09
92,2017-02-23,-8.0,129.09
94,2017-02-23,-60.0,169.09
95,2017-02-24,-20.0,149.09
96,2017-02-24,-8.5,140.59
97,2017-02-24,-4.1,136.49
99,2017-02-25,-8.0,228.49
100,2017-02-25,-17.0,211.49
101,2017-02-25,-3.7,207.79
102,2017-02-25,-10.99,196.8
105,2017-02-27,-410.0,296.8
106,2017-02-27,-25.85,270.95
107,2017-02-28,-39.9,231.05
108,2017-02-28,-8.0,223.05
109,2017-02-28,-32.23,190.82
110,2017-02-28,-16.0,174.82
111,2017-02-28,-49.64,125.18
112,2017-02-28,-31.99,93.19
113,2017-02-28,-14.4,78.79
114,2017-02-28,-4.5,74.29
115,2017-02-28,-12.0,62.29
116,2017-02-28,-13.69,48.6
118,2017-03-01,-0.17,108.43
119,2017-03-01,-24.0,84.43
120,2017-03-01,-8.5,75.93
121,2017-03-01,-16.65,59.28
122,2017-03-01,205.0,264.28
123,2017-03-02,-15.14,249.14
124,2017-03-02,-6.0,243.14
125,2017-03-02,-7.0,236.14
126,2017-03-02,40.5,276.64
127,2017-03-02,-20.2,256.44
128,2017-03-02,163.6,420.04
129,2017-03-03,-162.0,258.04
130,2017-03-03,-18.5,239.54
131,2017-03-03,-4.0,235.54
132,2017-03-03,163.6,399.14
133,2017-03-03,163.6,562.74
134,2017-03-04,-4.5,558.24
135,2017-03-04,-2.99,555.25
136,2017-03-06,-25.85,529.4
137,2017-03-07,-5.0,524.4
138,2017-03-07,-164.9,359.5
139,2017-03-07,-13.5,346.0
140,2017-03-07,-4.5,341.5
141,2017-03-07,-4.5,337.0
142,2017-03-07,-6.0,331.0
143,2017-03-07,-5.6,325.4
144,2017-03-08,-4.5,320.9
145,2017-03-08,-2.5,318.4
146,2017-03-08,-11.66,306.74
147,2017-03-08,-22.35,284.39
148,2017-03-09,-20.0,264.39
149,2017-03-09,40.5,304.89
150,2017-03-09,-139.0,165.89
151,2017-03-10,-4.5,161.39
152,2017-03-10,-4.0,157.39
153,2017-03-10,-7.5,149.89
154,2017-03-10,-6.5,143.39
156,2017-03-11,-66.0,177.39
157,2017-03-11,-5.35,172.04
158,2017-03-12,-12.0,160.04
159,2017-03-12,35.5,195.54
161,2017-03-13,-410.0,195.54
163,2017-03-13,-90.0,205.54
164,2017-03-13,-25.85,179.69
165,2017-03-14,-4.8,174.89
166,2017-03-14,-7.61,167.28
167,2017-03-14,-25.5,141.78
168,2017-03-14,-4.5,137.28
169,2017-03-14,-3.99,133.29
170,2017-03-14,-7.5,125.79
172,2017-03-14,-143.59,12.2
173,2017-03-15,-10.0,2.2
174,2017-03-15,-5.98,-3.78
175,2017-03-15,-30.53,-34.31
176,2017-03-15,-11.99,-46.3
177,2017-03-15,-12.5,-58.8
178,2017-03-15,-8.63,-67.43
180,2017-03-15,3020.91,3453.48
183,2017-03-16,-100.0,1560.48
184,2017-03-16,-20.0,1540.48
185,2017-03-16,-19.35,1521.13
186,2017-03-16,-31.95,1489.18
187,2017-03-17,-8.1,1481.08
188,2017-03-17,-41.48,1439.6
189,2017-03-17,-17.85,1421.75
190,2017-03-17,-8.55,1413.2
191,2017-03-17,-5.0,1408.2
192,2017-03-17,-17.49,1390.71
193,2017-03-18,-6.5,1384.21
194,2017-03-20,-25.85,1358.36
195,2017-03-21,-2.5,1355.86
196,2017-03-21,-15.5,1340.36
197,2017-03-21,-8.1,1332.26
198,2017-03-21,-19.94,1312.32
199,2017-03-21,-15.0,1297.32
200,2017-03-21,-36.0,1261.32
201,2017-03-21,-11.99,1249.33
202,2017-03-21,-6.0,1243.33
203,2017-03-21,-20.0,1223.33
204,2017-03-22,-91.0,1132.33
205,2017-03-22,-4.0,1128.33
206,2017-03-22,-8.0,1120.33
207,2017-03-22,-4.5,1115.83
208,2017-03-22,-51.71,1064.12
209,2017-03-22,-1.8,1062.32
210,2017-03-22,-4.5,1057.82
211,2017-03-22,-52.0,1005.82
212,2017-03-22,-8.9,996.92
213,2017-03-22,-4.5,992.42
214,2017-03-23,-4.5,987.92
215,2017-03-23,-8.76,979.16
216,2017-03-23,-4.2,974.96
217,2017-03-23,-13.99,960.97
218,2017-03-23,-3.5,957.47
219,2017-03-23,-12.5,944.97
220,2017-03-23,-4.5,940.47
221,2017-03-23,-11.97,928.5
222,2017-03-23,-135.0,793.5
223,2017-03-23,71.7,865.2
224,2017-03-24,-3.6,861.6
225,2017-03-24,-4.4,857.2
226,2017-03-24,-18.4,838.8
227,2017-03-24,-7.0,831.8
228,2017-03-24,-5.0,826.8
229,2017-03-25,-7.4,819.4
230,2017-03-25,-7.5,811.9
231,2017-03-25,-7.9,804.0
232,2017-03-25,-6.0,798.0
233,2017-03-25,-10.81,787.19
234,2017-03-25,-18.0,769.19
235,2017-03-27,-410.0,359.19
236,2017-03-27,-25.85,333.34
237,2017-03-28,-39.9,293.44
238,2017-03-28,-4.1,289.34
